s,Pa,rpm
0.00000000,0.00802913773804903,732.480203721057
0.00001953,0.0107586858794093,732.480203721057
0.00003906,0.0129199549555779,732.480203721057
0.00005859,0.0150751797482371,732.480203721057
0.00007813,0.0167256034910679,732.480203721057
0.00009766,0.0185513477772474,732.480203721057
0.00011719,0.0203257035464048,732.480203721057
0.00013672,0.0227559991180897,732.480203721057
0.00015625,0.025316271930933,732.480203721057
0.00017578,0.0287894178181887,732.480203721057
0.00019531,0.0317668318748474,732.480203721057
0.00021484,0.0358868464827538,732.480203721057
0.00023438,0.0387070775032043,732.480203721057
0.00025391,0.0419142208993435,732.480203721057
0.00027344,0.044069442898035,732.480203721057
0.00029297,0.0463848747313023,732.480203721057
0.00031250,0.0479536838829517,732.480203721057
0.00033203,0.0496766529977322,732.480203721057
0.00035156,0.0512787140905857,732.480203721057
0.00037109,0.0536183267831802,732.480203721057
0.00039063,0.0556314811110497,732.480203721057
0.00041016,0.0585393719375134,732.480203721057
0.00042969,0.0620790161192417,732.480203721057
0.00044922,0.0655400678515434,732.480203721057
0.00046875,0.0694152414798737,732.480203721057
0.00048828,0.0724591538310051,732.480203721057
0.00050781,0.0749710649251938,732.480203721057
0.00052734,0.0765096470713615,732.480203721057
0.00054688,0.0777852535247803,732.480203721057
0.00056641,0.0786316245794296,732.480203721057
0.00058594,0.0790699198842049,732.480203721057
0.00060547,0.0797107443213463,732.480203721057
0.00062500,0.080901712179184,732.480203721057
0.00064453,0.0818841084837913,732.480203721057
0.00066406,0.0840937420725822,732.480203721057
0.00068359,0.0863275527954102,732.480203721057
0.00070313,0.0888727158308029,732.480203721057
0.00072266,0.0906893908977509,732.480203721057
0.00074219,0.0930441170930862,732.480203721057
0.00076172,0.095214456319809,732.480203721057
0.00078125,0.0978835448622704,732.480203721057
0.00080078,0.100894212722778,732.480203721057
0.00082031,0.104621268808842,732.480203721057
0.00083984,0.107743769884109,732.480203721057
0.00085938,0.111461758613586,732.480203721057
0.00087891,0.114690065383911,732.480203721057
0.00089844,0.118501760065556,732.480203721057
0.00091797,0.120714411139488,732.480203721057
0.00093750,0.122352749109268,732.480203721057
0.00095703,0.123017750680447,732.480203721057
0.00097656,0.124102920293808,732.480203721057
0.00099609,0.125064164400101,732.480203721057
0.00101563,0.126626923680305,732.480203721057
0.00103516,0.128195732831955,732.480203721057
0.00105469,0.130746930837631,732.480203721057
0.00107422,0.132763117551804,732.480203721057
0.00109375,0.13557730615139,732.480203721057
0.00111328,0.138932555913925,732.480203721057
0.00113281,0.144031941890717,732.480203721057
0.00115234,0.14916156232357,732.480203721057
0.00117188,0.154578328132629,732.480203721057
0.00119141,0.159617274999619,732.480203721057
0.00121094,0.16480128467083,732.480203721057
0.00123047,0.169199407100678,732.480203721057
0.00125000,0.1725093126297,732.480203721057
0.00126953,0.175006106495857,732.480203721057
0.00128906,0.176094308495522,732.480203721057
0.00130859,0.17664746940136,732.480203721057
0.00132813,0.176169872283936,732.480203721057
0.00134766,0.175435349345207,732.480203721057
0.00136719,0.175513938069344,732.480203721057
0.00138672,0.175538122653961,732.480203721057
0.00140625,0.175749704241753,732.480203721057
0.00142578,0.175861552357674,732.480203721057
0.00144531,0.176441922783852,732.480203721057
0.00146484,0.177463605999947,732.480203721057
0.00148438,0.178415775299072,732.480203721057
0.00150391,0.180117592215538,732.480203721057
0.00152344,0.181003257632256,732.480203721057
0.00154297,0.181952401995659,732.480203721057
0.00156250,0.18185567855835,732.480203721057
0.00158203,0.181737780570984,732.480203721057
0.00160156,0.180809795856476,732.480203721057
63011719,-0.386107861995697,732.165215369377
0.63013672,-0.387120485305786,732.165529042073
0.63015625,-0.387740135192871,732.165842714768
0.63017578,-0.390173465013504,732.166156387463
0.63019531,-0.389160841703415,732.166470060159
0.63021484,-0.391860157251358,732.166783732854
0.63023438,-0.388308435678482,732.167097405549
0.63025391,-0.389429867267609,732.167411078244
0.63027344,-0.385675609111786,732.16772475094
0.63029297,-0.390998661518097,732.168038423635
0.63031250,-0.382852345705032,732.16835209633
0.63033203,-0.389354288578033,732.168665769026
0.63035156,-0.380745500326157,732.168979441721
0.63037109,-0.389553785324097,732.169293114416
0.63039063,-0.37666779756546,732.169606787112
0.63041016,-0.385421693325043,732.169920459807
0.63042969,-0.380059331655502,732.170234132502
0.63044922,-0.379678457975388,732.170547805198
0.63046875,-0.376017898321152,732.170861477893
0.63048828,-0.374331206083298,732.171175150588
0.63050781,-0.37225154042244,732.171488823284
0.63052734,-0.367895752191544,732.171802495979
0.63054688,-0.367267042398453,732.172116168674
0.63056641,-0.363216549158096,732.172429841369
0.63058594,-0.362720817327499,732.172743514065
0.63060547,-0.35044538974762,732.17305718676
0.63062500,-0.362669408321381,732.173370859455
0.63064453,-0.362049758434296,732.173684532151
0.63066406,-0.358996778726578,732.173998204846
0.63068359,-0.347821652889252,732.174311877541
0.63070313,-0.357796728610992,732.174625550237
0.63072266,-0.346824139356613,732.174939222932
0.63074219,-0.351872146129608,732.175252895627
0.63076172,-0.346044272184372,732.175566568323
0.63078125,-0.34626492857933,732.175880241018
0.63080078,-0.344720304012299,732.176193913713
0.63082031,-0.339037507772446,732.176507586409
0.63083984,-0.346669971942902,732.176821259104
0.63085938,-0.341628015041351,732.177134931799
0.63087891,-0.340246617794037,732.177448604495
0.63089844,-0.3329738676548,732.17776227719
0.63091797,-0.334935635328293,732.178075949885
0.63093750,-0.334071129560471,732.17838962258
0.63095703,-0.331380873918533,732.178703295276
0.63097656,-0.331211596727371,732.179016967971
0.63099609,-0.325238645076752,732.179330640666
